No,No Lesen,Nama Syarikat,Nama Aktiviti,Tarikh Aktiviti Mula,Tarikh Aktiviti Tamat
1215,L202200618,Oriental Global Event Management,Chinese New Year Fun Run - Alor Setar,07/01/2023,07/01/2023
1216,L202501074,JACKIE CHESS ACADEMY,CHESS STRATEGIC ARENA TOURNAMENT 2025,16/09/2025,16/09/2025
1217,L202601262,JACKIE CHESS ACADEMY,CHESS MASTERCUP CHALLENGE TOURNAMENT,31/01/2026,31/01/2026
1218,L202200577,UNDERWATER WORLD LANGKAWI SDN. BHD.,CHENANG NIGHT FUN RUN,22/11/2022,22/11/2022
1219,L201900131,Adventist Hospital & Clinic Services (M),Charity Light Run,28/09/2019,28/09/2019
1220,L201900039,IMU Education Sdn Bhd,Chariofare 2019,21/09/2019,21/09/2019
1221,L202501110,ACTIVE SPORT SDN BHD,CHALLENGE MALAYSIA 2025,30/08/2025,31/08/2025
1222,L202400734,ACTIVE SPORT SDN BHD,CHALLENGE MALAYSIA 2024,02/03/2024,03/03/2024
1223,L202000337,JHK EVENTS,CERIA RUN 2020 KAMPUNG NAGALANG/KERUPANG,12/04/2020,12/04/2020
1224,L202501013,CUZ WEAR ENTERPRISE,CENTRAL I-CITY SPORTS CARNIVAL- PICKLEBALL,06/06/2025,08/06/2025
1225,L202501000,CUZ WEAR ENTERPRISE,Central I-City Sports Carnival 2025,30/05/2025,05/06/2025
1226,L202000353,JHK EVENTS,CENDOL LABUAN FUN RUN,29/03/2020,29/03/2020
1227,L201900137,CentriSoh Sales & Marketing,CELLGLO RUN 2019,26/10/2019,26/10/2019
1228,L202200556,Desaru South Course Sdn. Bhd.,Carlsberg Classic 2022,14/10/2022,14/10/2022
1229,L202501178,Oriental Global Event Management,CAPYBARA WITH FRIENDS 2KM FUN WALK,08/11/2025,08/11/2025
1230,L202601293,CANARD MEDIA SDN BHD,CANROLL PRO ACTION SPORTS FESTIVAL 2.0,08/04/2026,12/04/2026
1231,L202601294,CANARD MEDIA SDN BHD,CANROLL PRO ACTION SPORTS FESTIVAL 2.0,08/04/2026,12/04/2026
1232,L202601295,CANARD MEDIA SDN BHD,CANROLL PRO ACTION SPORTS FESTIVAL 2.0,08/04/2026,12/04/2026
1233,L202601298,CANARD MEDIA SDN BHD,CANROLL PRO ACTION SPORTS FESTIVAL 2.0,08/04/2026,12/04/2026
1234,L202601291,CANARD MEDIA SDN BHD,CANROLL PRO ACTION SPORTS FESTIVAL 2.0,08/04/2026,12/04/2026
1235,L201900029,Bolt Event Management,Cameron Ultra Trail Run 2019,26/07/2019,28/07/2019
1236,L202000276,Bolt Events Management,cameron night run 2020,22/02/2020,23/02/2020
1237,L202400718,BOLT EVENTS MANAGEMENT,CAMERON NIGHT RUN (Larian),03/02/2024,04/02/2024
1238,L202400723,BOLT EVENTS MANAGEMENT,CAMERON NIGHT RUN,03/02/2024,04/02/2024
1239,L201900192,Universal Fitness & Leisure Sdn Bhd,Camelbak Ultra Trail 2019,09/11/2019,10/11/2019
1240,L202400892,ALL TRAIL PROJECT EVENT MANAGEMENT,Camelbak Muallim Ultra Trail 2024 (CAMTRA),21/09/2024,22/09/2024
1241,L202300096,ALL TRAIL PROJECT EVENT MANAGEMENT ENTERPRISE,CAMELBAK MUALLIM ULTRA TRAIL 2023,16/09/2023,17/09/2023
1242,L202501031,MST GOLF ARENA SDN BHD,Cagamas 17th Invitational Golf Challenge 2025,15/06/2025,15/06/2025
1243,L202200535,Hijo Outdoor & Sports Events Management,Cabaran Gunung Semangkok,24/09/2022,25/09/2022
1244,L202601281,Hijo Outdoor & Sports Events Management,Cabaran Gunung Rajah,14/02/2026,15/02/2026
1245,L202300131,HIJO OUTDOOR & SPORTS EVENTS MANAGEMENT,CABARAN GUNUNG RAJAH,29/10/2023,29/10/2023
1246,L202500980,Hijo Outdoor & Sports Events Management,Cabaran Gunung Nuang,15/02/2025,16/02/2025
1247,L202501133,NBL International Sdn Bhd,BWF Asia Pacific AirBadminton Championships,08/08/2025,10/08/2025
1248,L202400821,Oriental Global Event Management,Butterworth Fun Walk 2024,21/07/2024,21/07/2024
1249,L201900092,Oriental Global Event Management,Butterworth Fun Walk 2019,08/09/2019,08/09/2019
1250,L202400920,Oriental Global Event Management,Butterworth City Fun Run 3.0,17/11/2024,17/11/2024
1251,L202200469,Alternative,butod's run,03/07/2022,03/07/2022
1252,L201900108,TWENTY FIRST CENTURY SPORTS (M) SDN BHD,Bursa Bull Charge 2019,12/09/2019,12/09/2019
1253,L202501183,LS PRODUCTION PLT,BUKIT TINGGI NATURE RUN 2025,12/10/2025,12/10/2025
1254,L201900096,OHANA BORNEO TRAVEL & TOURS SDN. BHD.,Bukit Putus Trail Challenge,08/09/2019,09/09/2019
1255,L202500977,Lumen Sports Sdn Bhd,Bukit Lagong Challenge,08/02/2025,09/02/2025
1256,L202601269,Lumen Sports Sdn Bhd,Bukit Lagong Challenge,14/02/2026,15/02/2026
1257,L202400727,Lumen Sports Sdn Bhd,BUKIT LAGONG CHALLENGE,17/02/2024,18/02/2024
1258,L202501195,ULTRA RUNNING,Bukit Kledang Ultra Challenge,11/10/2025,12/10/2025
1259,L202300002,LUMEN SPORTS SDN BHD,Bukit Kiara X,02/07/2023,02/07/2023
1260,L202200403,Ultra Running,Bukit Kiara Ultra Challenge 2022,20/02/2022,20/02/2022
1261,L202000282,ULTRA RUNNING,Bukit Kiara Ultra Challenge,09/02/2020,09/02/2020
1262,L202400959,Lumen Sports Sdn Bhd,Bukit Kiara Ultra Challenge,05/01/2025,05/01/2025
1263,L202400715,Lumen Sports Sdn Bhd,BUKIT KIARA ULTRA CHALLENGE,09/01/2024,09/01/2024
1264,L202501256,Lumen Sports Sdn Bhd,Bukit Kiara Ultra Challenge,04/01/2026,04/01/2026
1265,L202200625,ULTRA RUNNING,Bukit Kiara Ultra Challenge,08/01/2023,08/01/2023
1266,L201900050,Fanaz Event & Management,BUff Trail Run 2019,21/07/2019,21/07/2019
1267,L202200527,Endurance Nature Sdn Bhd,BUFF Epic Ultimate Trails of Penang,08/10/2022,09/10/2022
1268,L202300081,ENDURANCE NATURE SDN BHD,BUFF EPIC ULTIMATE TRAILS OF PENANG,06/10/2023,08/10/2023
1269,L201900220,THOUSAND SPORTS,BUBBLE MILK COLOR RUN 2020,12/01/2020,12/01/2020
1270,L201900230,Fanaz Event & Management,BSP Fun Ride 2019,14/12/2019,15/12/2019
1271,L202200450,PYRAMID BOWL SDN BHD,Brunswick Youth Challenge 2022,04/06/2022,12/06/2022
1272,L202300153,HUMBURGER ASIA SDN BHD,BRT RUN 2023,25/11/2023,25/11/2023
1273,L202501144,PRESTIGE GOLF SDN BHD,BRIDGESTONE ASEAN AMATEUR OPEN,06/09/2025,31/10/2025
1274,L202300705,PRESTIGE GOLF SDN BHD,BRIDGESTONE AMATEUR OPEN,04/06/2023,20/09/2023
1275,L202200489,PRESTIGE GOLF SDN BHD,BRIDGESTONE AMATEUR OPEN,16/07/2022,14/09/2022
1276,L202300103,NEUTRALZONE ENTERPRISE,BREAKAWAY ICE HOCKEY TOURNAMENT,20/09/2023,23/09/2023
1277,L201900097,MOUNTAIN TORQ SDN BHD,Boulder Buster,-,08/09/2019
1278,L202300628,Borneo Ultra Trails Sdn Bhd,Borneo Ultra Trail Marathon (BUTM),11/03/2023,12/03/2023
1279,L202500971,Borneo Ultra Trails Sdn Bhd,Borneo Ultra Trail Marathon (BUTM),22/02/2025,23/02/2025
1280,L202601280,BORNEO ULTRA TRAILS SDN BHD,BORNEO ULTRA TRAIL MARATHON (BUTM),11/04/2026,12/04/2026
1281,L202200430,BORNEO ULTRA TRAILS SDN BHD,BORNEO ULTRA TRAIL MARATHON (BUTM 2022),19/03/2022,20/03/2022
1282,L201900262,BORNEO ULTRA TRAILS SDN BHD,Borneo Ultra Trail Marathon,14/03/2020,16/03/2020
1283,L202300702,Borneo Ultra Trails Sdn Bhd,Borneo 100 Mile Ultra-Trail Marathon (Borneo 100),03/06/2023,05/06/2023
1284,L202501160,THE BOOM BEVLAB SDN BHD,BOOM+ RUN 2025,07/09/2025,07/09/2025
1285,L202400844,THE BOOM GROUP SDN. BHD,BOOM+ PUTRAJAYA RUN 2024,14/09/2024,14/09/2024
1286,L202300669,AMMJB Swimmers Enterprise,BOOM+ Kapas Marang International Swimathon 2023,11/03/2023,11/03/2023
1287,L202000280,FANATIC 4 EVENT,BOBA UNICORN RUN 2020,02/02/2020,02/02/2020
1288,L202501221,YAYASAN MR. D.I.Y,Blue Cap Run 2025,02/11/2025,02/11/2025
1289,L202300026,BLACK ROSE EVENTS & SPORTS,BLACK ROSE SEMI MARATHON 2023,06/07/2023,16/07/2023
1290,L202200465,PURPLE LEAGUE SPORTS MANAGEMENT SDN. BHD.,BIZ LINK PROPERTIES PURPLE LEAGUE CORPORATE 2021/2022,23/07/2022,07/08/2022
1291,L202300004,IJ EVENT MANAGEMENT,BFF FUN RUN – SUNGAI PETANI,08/07/2023,08/07/2023
1292,L202300005,ORIENTAL GLOBAL EVENT MANAGEMENT,BFF FUN RUN – SUNGAI PETANI,08/07/2023,08/07/2023
1293,L202300700,IJ EVENT MANAGEMENT,BFF FUN RUN - IPOH,04/06/2023,04/06/2023
1294,L202300712,IJ EVENT MANAGEMENT,BFF Fun Run - Butterworth,25/06/2023,25/06/2023
1295,L202300031,IJ EVENT MANAGEMENT,BFF FUN RUN TAIPING,30/07/2023,30/07/2023
1296,L202300015,IJ EVENT MANAGEMENT,BFF Fun Run Alor Setar,15/07/2023,15/07/2023
1297,L202400817,Ganu FIT Services,BESUT OWS CHALLENGE 2024,17/08/2024,17/08/2024
1298,L201900083,EC Pixels,Besraya Highway Challenge 2019,24/08/2019,24/08/2019
1299,L202501232,RUNBIKEAWAY SDN BHD,BESKAL BEKFAS HOT,20/11/2025,24/11/2025
1300,L202400838,RK Malaysia Ventures,Berjaya Times Square Tower Run 2024,04/08/2024,04/08/2024
1301,L202300010,ULTRA SPORTS VENTURE,BERJAYA TIMES SQUARE TOWER RUN 2023,23/07/2023,23/07/2023
1302,L201900176,JomRun Sdn Bhd,Bentong Unicorn 5KM Fun Run,10/11/2019,10/11/2019
1303,L202501140,Scale Advertising,Beneunder Pickleball Championship,05/09/2025,07/09/2025
1304,L202501125,BELLEVUE SDN BHD,BELLEVUE PICKLEBALL TOURNAMENT,25/07/2025,27/07/2025
1305,L201900255,JomRun Sdn. Bhd.,Beaufort Unicorn 5km Fun Run,05/01/2020,05/01/2020
1306,L201900249,AVTA SPORTS SDN BHD,BEAUFORT ULTRA MARATHON,12/01/2020,12/01/2020
1307,L202400897,BDB LEISURE SDN BHD,BDB Jitra Half Marathon 2024,30/11/2024,30/11/2024
1308,L202300169,BDB Leisure Sdn Bhd,BDB Jitra Half Marathon 2023,01/12/2023,02/12/2023
1309,L202400831,BDB LEISURE SDN BHD,BDB JITRA DUATHLON 2024,27/07/2024,27/07/2024
1310,L202501242,Global Sports Partners (M) SDN BHD,Battle at the Border,03/01/2026,04/01/2026
1311,L201900170,Time Mark Marketing Sdn Bhd,Batman Night Run,09/11/2019,09/11/2019
1312,L202300634,Oriental Global Event Management,Batik Fun Run - Alor Setar,11/02/2023,11/02/2023
1313,L201900138,CentriSoh Sales & Marketing,BANGI WONDERLAND NATURE RUN 2019,13/10/2019,13/10/2019
1314,L202501040,Cyclomotion Sdn Bhd,Bandar Tasik Puteri MTB Jamboree 2025,25/05/2025,25/05/2025
1315,L201900190,BDB LEISURE SDN. BHD.,Bandar Darulaman Run 2019,28/12/2019,28/12/2019
1316,L202400736,Viper challenge sdn bhd,Bandar bukit Raja Viper Challenge,02/03/2024,02/03/2024
1317,L202000320,NAVI J PRODUCTION,"Balloon Run , Kampar",23/02/2020,23/02/2020
1318,L201900165,Actife Style Concept Sdn Bhd,Balik Pulau Marathon 2019,20/10/2019,20/10/2019
1319,L202200463,Write Track Publishing & Communications Sdn Bhd,Baker Tilly Golf Day,22/06/2022,22/06/2022
1320,L202400921,Oriental Global Event Management,Bagan Night Walk 2024,09/11/2024,09/11/2024
1321,L202400818,ULTRA RUNNING,BACK 2 ENDURANCE,27/07/2024,28/07/2024
1322,L202501004,Oriental Global Event Management,AWAKENING FOOTPRINT 4KM WALKTATHON,04/05/2025,04/05/2025
1323,L201900048,YAG COLLEGE SDN. BHD.,AVATAR RUN FOR HOPE,12/10/2019,12/10/2019
1324,L201900057,Spectrum Global Events,Auto Bavaria Performance Run Series 2019,22/09/2019,22/09/2019
1325,L201900056,Spectrum Global Events,Auto Bavaria Performance Run Series 2019,17/08/2019,17/08/2019
1326,L201900211,Spectrum Global Events,Auto Bavaria Performance Run Series 2019,10/12/2019,10/12/2019
1327,L201900035,Sunway College (KL) Sdn Bhd,AUSMAT I-Care Run,13/07/2019,13/07/2019
1328,L202200545,HUBERT BURDA MEDIA MALAYSIA SDN BHD,AUGUSTMAN RUN 2022,16/10/2022,16/10/2022
1329,L201900105,EPIC EVOLUTION (M) SDN BHD,ATRIA MAKAN FUN RUN 3.0,15/09/2019,15/09/2019
1330,L202200447,TEN SENSES (M) SDN BHD,ASTRO WALK FOR EDUCATION 2022,28/05/2022,28/05/2022
1331,L202501223,Scrambleclash Events,ASJJF Malaysia International Open 2025 & ADCC Malaysia Championship 2025,15/11/2025,16/11/2025
1332,L202501088,Scrambleclash Events Sdn Bhd,ASJJF Malaysia International Jiu Jitsu Open Malaysia 2025,12/07/2025,12/07/2025
1333,L202501018,Scrambleclash Events Sdn Bhd,ASJJF Malaysia International Jiu Jitsu Open 2025 & Malaysia ADCC OPEN 2025,12/04/2025,13/04/2025
1334,L201900112,Original Bootcamp Sdn Bhd,ASICS RELAY 2019,07/09/2019,07/09/2019
1335,L202300149,SCORE SPORTS MANAGEMENT SDN BHD,ASICS META TIME TRIAL MALAYSIA 2023,19/11/2023,19/11/2023
1336,L202501008,Linkedup Asia Sdn Bhd,ASICS Ladies Pickleball Special 2025,24/05/2025,25/05/2025
1337,L202400888,Linkedup Asia Sdn Bhd,ASIC-MILO PICKLEBALL CHALLENGE 2024,09/11/2024,10/11/2024
1338,L202300052,STAGEMAKER SDN BHD,ASIA TRIATHLON CUP 2023,28/01/2024,04/02/2024
1339,L202300163,X MULTISPORT EVENT,ASIA TRIATHLON CUP 2023,11/11/2023,11/11/2023
1340,L202300087,ULTIASIA COMMUNITY SDN BHD,ASIA OCEANIA JUNIORS & MASTERS ULTIMATE CHAMPIONSHIP,16/12/2023,17/12/2023
1341,L202300079,VECTOR INTERNATIONAL SDN BHD,ASIA CROSS COUNTRY RALLY 2024,12/08/2023,18/08/2023
1342,L202501084,Persatuan Sukan Elektronik Malaysia,ASEAN Youth Esports Championship,24/06/2025,26/06/2025
1343,L202501219,ECM Golf Academy Sdn Bhd,ASEAN Junior Golf Championship 2025,24/11/2025,26/11/2025
1344,L202200580,TEN SENSES (M) SDN BHD,AS LLM Dash Penchala Link Tunnel Night Run 2022,05/11/2022,05/11/2022
1345,L202300156,GALA MODA SDN BHD,ARIANI HIJAB RUN 2023,16/12/2023,16/12/2023
1346,L202501229,XS Elite Performance Services,Aquathlon Kuala Langat 2025,07/12/2025,07/12/2025
1347,L201900232,April Twenty Two Sdn Bhd,April 22 Energy Run 2.0,12/01/2020,12/01/2020
1348,L202000279,April Twenty Two Sdn Bhd,April 22 Energy Run 2.0,12/01/2020,12/01/2020
1349,L202601275,RALLYWORLD INTERNATIONAL SDN. BHD,APP KUALA LUMPUR OPEN 2026,09/02/2026,14/02/2026
1350,L202200602,MST GOLF MANAGEMENT SDN BHD,APGCE 2022 Golf Tournament,27/11/2022,27/11/2022
1351,L202400940,Cyclomotion Sdn Bhd,Apex Duathlon 2024,17/11/2024,17/11/2024
1352,L202501193,ALL TRAIL PROJECT EVENT MANAGEMENT,ANGSI FOREST CHALLENGE 2025,25/10/2025,26/10/2025
1353,L202200480,MEIZIYA INTERNATIONAL SDN BHD,Andy Goh Cup Charity Golf Tournament,08/07/2022,09/07/2022
1354,L202100396,ROYEL DEPARTMENTAL STORES SDN BHD,AMPANG SUPERBOWL JUNIOR CLASSIC 2022,28/01/2022,30/01/2022
1355,L202501001,MBf PRINTING INDUSTRY SDN BHD,AMPANG SUPERBOWL INTERNATIONAL ANNIVERSARY 2025,01/05/2025,04/05/2025
1356,L202501050,Score Sports Management Sdn Bhd,AmBank Malaysia Pickleball Championship,29/05/2025,01/06/2025
1357,L202000356,ama fight entertainment sdn bhd,AMA Fighting Championship,07/03/2020,07/06/2020
1358,L202400811,Amitee Codes Sdn Bhd,AMA Championship 2024,29/06/2024,24/08/2024
1359,L202200422,ama fight entertainment sdn bhd,AMA Championship,25/03/2022,25/09/2022
1360,L202400828,Northern Runners Resources,Alor Setar Merdeka Half Marathon 2024,16/08/2024,17/08/2024
1361,L202300648,PUNCAK VENTURES SRA SDN BHD,ALOR SETAR HALF MARATHON 2023,04/03/2023,04/03/2023
1362,L201900106,Oriental Global Event Management,Alor Setar Fun Walk 2019,14/09/2019,14/09/2019
1363,L202000284,FANATIC 4 EVENT,ALOHA RUN 2020,23/02/2020,23/02/2020
1364,L202501190,UFCO Media Sdn Bhd,Alliance Bank Penang Open Pickleball,03/10/2025,05/10/2025
1365,L202501016,Courtsite Web Solutions Sdn Bhd,Alliance Bank KL Open Pickleball Championship 2025,25/04/2025,27/04/2025
1366,L202400889,Hamburger Asia Sdn Bhd,Alliance Bank Heritage Run 2024,20/10/2024,20/10/2024
1367,L202300117,HUMBURGER ASIA SDN BHD,ALLIANCE BANK HERITAGE RUN 2023,29/10/2023,29/10/2023
1368,L202300060,MST GOLF MANAGEMENT SDN BHD,ALLIANCE BANK GOLF TOURNAMENT 2023,22/09/2023,22/09/2023
1369,L202200516,MST GOLF MANAGEMENT SDN BHD,ALLIANCE BANK GOLF TOURNAMENT 2022,06/10/2022,06/10/2022
1370,L202501200,ALL STAR INFLUENCERS SDN. BHD,All Star Championship,12/11/2025,12/11/2025
1371,L201900206,Allegro Circle Resources,Alam Impian Fun Run & Inflatable Challenge 2019,17/11/2019,17/11/2019
1372,L202501062,3 Bears Events,Ajak Women's Team Tournament 2025,14/06/2025,14/06/2025
1373,L201900167,I&R DAHLIA ENTEPRISE,AIRPORT FUN RUN 2019,02/11/2019,02/11/2019
1374,L202501166,Score Sports Management Sdn Bhd,AirAsia Redrun Penang 2025,28/09/2025,28/09/2025
1375,L202100391,NBL International Sdn Bhd,Air Badminton Invitation Tournament 2021,18/12/2021,18/12/2021
1376,L201900007,ADHAM BIKE CENTRE,AIDILFITRI RUN & RIDE,22/06/2019,22/06/2019
1377,L202200398,Golf (Malaysia) Publications Sdn Bhd,AFFINCARDS GOLF CHALLENGE,27/01/2022,27/03/2022
1378,L202400835,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,AFFINCARD GOLF CHALLENGE 2024,08/08/2024,06/10/2024
1379,L202300037,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,AFFINCARD GOLF CHALLENGE 2023,15/08/2023,08/10/2023
1380,L202501101,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,AFFIN CARDS GOLF CHALLENGE 2025,05/08/2025,05/08/2025
1381,L202501129,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,AFFIN CARDS GOLF CHALLENGE 2025,19/08/2025,19/08/2025
1382,L202501113,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,AFFIN CARDS GOLF CHALLENGE 2025,11/09/2025,12/10/2025
1383,L202000367,Purple League Sport Management Sdn Bhd,AEON Purple League Junior 2020 Regional,03/10/2020,08/11/2020
1384,L202200409,Purple League Sport Management Sdn Bhd,AEON CREDIT PURPLE LEAGUE JUNIOR 2021/2022,19/02/2022,20/02/2022
1385,L202501108,M Sports Sdn Bhd,Aeon Charity Run 2025,03/08/2025,03/08/2025
1386,L202000333,limelight creative sdn bhd,adidas runners kuala lumpur,19/01/2020,31/12/2020
1387,L202400861,MST GOLF MANAGEMENT SDN BHD,ADIDAS LADIES GOLF DAY 2024,02/10/2024,02/10/2024
1388,L202300058,MST GOLF MANAGEMENT SDN BHD,ADIDAS GOLF DAY 2023,07/09/2023,07/09/2023
1389,L202200524,MST GOLF MANAGEMENT SDN.BHD,adidas GOLF DAY 2022,13/09/2022,13/09/2022
1390,L202200400,LIMELIGHT CREATIVE SDN BHD,ADIDAS AR FREE RUN,22/01/2022,24/12/2022
1391,L202400946,CRIT Esports Malaysia Sdn Bhd,ACS EduTour Season 3,30/11/2024,01/12/2024
1392,L202501175,CRIT Esports Malaysia Sdn Bhd,ACS Edu Tour Season 4,07/11/2025,09/11/2025
1393,L202300049,ACE SPORTS AND MANAGEMENT (M) SDN BHD,ACE SPORT & MANAGEMENT PSA WSF SATELLITE 8,10/08/2023,13/08/2023
1394,L202200472,adham bike centre,abc aidilfitri fun run&ride,12/06/2022,12/06/2022
1395,L202501174,Total Gymnastique Sdn. Bhd,9th Total Gymnastique International Gymnastics Tournament,12/09/2025,14/09/2025
1396,L202300100,MEP VENTURES SDN BHD,9 ULTRA MARATHON 2.0 (PUTRA 2.0),27/10/2023,28/10/2023
1397,L202300046,TOTAL GYMNASTIQUE SDN BHD,8TH TOTAL GYMNASTIQUE INTERNATIONAL GYMNASTICS,19/08/2023,20/08/2023
1398,L202300713,THE ROYAL SELANGOR GOLF CLUB,8th RSGC - SPORTSEXCEL JUNIOR INVITATIONAL GOLF CHAMPIONSHIP,07/06/2023,09/06/2023
1399,L202400885,IIUM MEDICAL SPECIALIST CENTRE SDN. BHD,8th Anniversary IMSC Run,05/10/2024,05/10/2024
1400,L202300001,XS ELITE PERFORMANCE SERVICES,8 TRIATHLON 2023,01/07/2023,02/07/2023
1401,L202300664,DHARMA MANAGEMENT CONSULTANT,7th Prince of Wales Isle Xokei Club Carnival 2023,13/05/2023,13/05/2023
1402,L202400875,Cyclomotion Sdn BHd,67th Merdeka Ride 2024,16/09/2024,16/09/2024
1403,L202300029,THE BONGCIT HUB,6 ULTRA 2023,11/11/2023,12/11/2023
1404,L202300171,HONG LEONG MANUFACTURING GROUP SDN BHG,5KMHLG SPORTS TOURNAMENT 2024,27/01/2024,27/01/2024
1405,L202400744,PACAT EVENT SOLUTIONS,50 HOURS CHASING CROCODILE RUN,03/05/2024,05/05/2024
1406,L202200453,Comrades All Star Solutions,50 HOURS CHASING CROCODILE RUN,04/06/2022,06/06/2022
1407,L202200493,DELTA WORLD SDN BHD,4th Tourism Selangor Golf Tournament 2022,23/07/2022,23/07/2022
1408,L202400881,NBL International Sdn Bhd,40th World Chinese Basketball Invitational Tournament 2024,07/11/2024,10/11/2024
1409,L202300072,MMTF CONSULTANT,4 INTERNATIONAL MARATHON 2023,18/08/2023,20/08/2023
1410,L202100389,Tourism Selangor Sdn Bhd,3rd TOURISM SELANGOR GOLF TOURNAMENT 2021,23/12/2021,23/12/2021
1411,L202501045,DAT CHESS CENTER,3RD PEARL POINT SHOPPING MALL CHESS CHAMPIONSHIP,21/06/2025,22/06/2025
1412,L202501147,TYNG DANCE ACADEMY,3RD BORNEO OPEN INTERNATIONAL DANCESPORT CHAMPIONSHIP 2025,01/10/2025,07/10/2025
1413,L201900234,PREMIER ADVENTIST HOLDINGS SDN. BHD.,3rd ACNHS MERENTAS DESA,31/01/2020,31/01/2020
1414,L202501122,Persatuan Golf Wanita Malaysia,39th Malaysian Ladies Amateur Open Championship,28/07/2025,31/07/2025
1415,L202601297,MST GOLF SDN. BHD,30TH JCI ASIA PACIFIC SENATE GOLF INVITATIONAL,30/03/2026,31/03/2026
1416,L202300152,BLUE FROST MANAGEMENT SDN BHD,3 ON 3 DANGLE ICE HOCKEY TOURNAMENT,15/11/2023,18/11/2023
1417,L202400788,JOMRUN SDN BHD,2XU COMPRESSION RUN 2024 - MALAYSIA,23/06/2024,23/06/2024
1418,L202400914,TYNG DANCE ACADEMY,2ND BORNEO OPEN INTERNATIONAL DANCESPORT CHAMPIONSHIP 2024,30/10/2024,05/11/2024
1419,L202100378,PYRAMID BOWL SDN BHD,21st Storm U22 Junior All-Stars Bowling Championship 2021,11/12/2021,20/12/2021
1420,L202501117,DAT CHESS CENTER,20th Malaysian Chess Festival 2025,12/09/2025,21/09/2025
1421,L202500967,Swimon Enterprise,2025 PD 2KM OWS Classic,18/01/2025,18/01/2025
1422,L202501056,Pic2Go ASIA Sdn Bhd,2025 GEORGE TOWN HERITAGE INTERNATIONAL OCEAN SWIMMING FESTIVAL 16-22 FEBRUARY,27/07/2025,03/08/2025
1423,L202501214,X MULTISPORT EVENT,2025 ASIA TRIATHLON CUP KOTA KINABALU,24/10/2025,25/10/2025
1424,L202400902,World Endurance Malaysia SDN BHD,2024 IRONMAN Malaysia & 2024 IRONMAN 70.3 Langkawi,12/10/2024,13/10/2024
1425,L202300107,SWIMON ENTERPRISE,2023 PERHENTIAN ISLAND CHALLENGE,07/10/2023,07/10/2023
1426,L202300699,World Endurance Malaysia Sdn Bhd,2023 Multisport Festival Desaru Coast,12/05/2023,14/05/2023
1427,L202300111,WORLD ENDURANCE MALAYSIA SDN BHD,2023 IRONMAN MALAYSIA,07/10/2023,07/10/2023
1428,L202200576,Fresh Events Asia Sdn Bhd,2022 Putrajaya Asia Triathlon Powerman Middle Distance Duathlon Championship,29/10/2022,30/10/2022
1429,L202200599,VSPN Malaysia Sdn Bhd,2022 PUBG MOBILE GLOBAL CHAMPIONSHIP LEAGUE,10/11/2022,04/12/2022
1430,L202200458,World Endurance Malaysia Sdn Bhd,2022 Multisport Festival Desaru Coast,22/07/2022,24/07/2022
1431,L202200571,World Endurance Malaysia SDN BHD,"2022 IRONMAN MALAYSIA, Langkawi",04/11/2022,05/11/2022
1432,L202000364,Purple League Sport Management Sdn Bhd,2020 Purple League Pro-Am,21/09/2020,27/09/2020
1433,L202200617,HYBRID MANAGEMENT SDN BHD,"1st South East Asian Open Water Swimming Championship 2023, Putrajaya",01/02/2023,04/02/2023
1434,L201900001,BAZ GLOBAL SDN BHD,1ST MELAKA JUNIOR GOLF CHAMPIONSHIP,05/07/2019,07/07/2019
1435,L202100390,Kuala Lumpur Academy Of Polo Sdn Bhd,1st Malaysia Youth Polo Tournament,01/01/2022,03/01/2022
1436,L202400872,DAT Chess Centre,19th IGB Malaysian Chess Festival,13/09/2024,22/09/2024
1437,L202300068,DAT CHESS CENTRE,18TH IGM MALAYSIAN CHESS FESTIVAL,28/08/2023,03/09/2023
1438,L201900033,EVENTURE GLOBAL RESOURCES/ EVENTURE GLOBAL PTE LTD,113 TRIATHLON MALAYSIA-DESARU 2019,09/07/2019,10/07/2019
1439,L202400780,EVENTURE GLOBAL RESOURCES,113 INTERNATIONAL TRIATHLON DESARU 2024,06/07/2024,07/07/2024
1440,L202200420,EVENTURE GLOBAL PTE LTD/EVENTURE GLOBAL RESOURCES,113 AQUATHLON MELAKA 2022,27/03/2022,27/03/2022
1441,L202000286,EVENTURE GLOBAL RESOURCES/ EVENTURE GLOBAL PTE LTD,113 AQUATHLON MELAKA 2020,08/02/2020,08/02/2020
1442,L202300139,TTI MANAGEMENT SDN BHD,11 WATERSPORT FESTIVAL,10/10/2023,11/10/2023
1443,L202300147,AMMJB SWIMMERS ENTERPRISE,11 DRAWBRIDGE HALF MARATHON 2023,11/11/2023,11/11/2023
1444,L202501201,Radiance Solution SDN. BHD,100PLUS ZERO TO LEGENDS,07/11/2025,09/11/2025
1445,L202300064,XS ELITE PERFORMANCE SERVICES,10 DUATHLON 2023,26/08/2023,27/08/2023
1446,L202300168,XS Elite Performance Services,10 Aquathlon,03/12/2023,03/12/2023
1447,L202501102,BANDAR UTAMA CITY CENTRE SDN BHD,1 UTAMA PICKLEBALL TOURNAMENT,26/07/2025,27/07/2025
